date [y-m-d GMT], time [h:m:s GMT], milliseconds, seconds since midnight [GMT], elapsed minutes, altitude (from iMet PTU) [km], iMet pressure [mb], iMet air temperature (corrected) [deg C], iMet air temperature (raw) [deg C], iMet humidity [RH %], iMet frostpoint [deg C], iMet internal temperature [deg C], iMet battery voltage [V], iMet theta [K], iMet temperature (of pressure sensor) [deg C], iMet temperature (of humidity sensor) [deg C], iMet ascent rate [m/s], iMet water vapor mixing ratio [ppmv], iMet total column water [mm], GPS latitude, GPS longitude, GPS altitude [km], GPS num satellites, GPS pressure [mb], GPS wind speed [m/s], GPS wind direction [deg], GPS ascent rate [m/s], GPS(X) east velocity [m/s], GPS(X) north velocity [m/s], GPS(X) up velocity [m/s], GPS time [h:m:s GMT], GPS heading from launch [deg], GPS elevation angle from launch [deg], GPS distance from launch [km], predicted landing latitude, predicted landing longitude, predicted time to landing [min],datetime,datetime_local,altitude[km]
2024-06-20, 12:18:48,799,44328.799,0.52526,0.0351,1024.16,26.11,26.17,65.3,19.09,32.8,5.4,297.224,32.8,27.26,0.0,22056.26,0.0,40.32983,-74.6756,0.03,6,1024.17,,,,,,, 12:19:06,,0.0,64.41,40.19028,-75.10319,0.0,2024-06-20 12:18:48,2024-06-20 08:18:48,0.03
2024-06-20, 12:18:49,767,44329.767,0.54341,0.0351,1024.16,26.07,26.13,65.1,19.0,32.81,5.4,297.184,32.81,27.26,0.0,21934.13,0.0,40.32984,-74.6756,0.029,6,1024.29,,,-1.03,,,, 12:19:07,,0.0,64.41,40.19028,-75.10313,0.0,2024-06-20 12:18:49,2024-06-20 08:18:49,0.029
2024-06-20, 12:18:50,856,44330.856,0.55895,0.0352,1024.15,26.03,26.09,65.0,18.94,32.83,5.4,297.145,32.83,27.26,0.0,21847.03,0.0,40.32984,-74.6756,0.028,6,1024.4,,,-1.05,,,, 12:19:08,,0.0,64.41,40.19029,-75.10307,0.0,2024-06-20 12:18:50,2024-06-20 08:18:50,0.028
2024-06-20, 12:18:51,788,44331.788,0.57622,0.0352,1024.15,26.01,26.07,65.0,18.92,32.85,5.4,297.125,32.85,27.25,0.0,21820.62,0.0,40.32984,-74.6756,0.029,6,1024.29,,,-0.33,,,, 12:19:09,,0.0,64.41,40.19029,-75.10313,0.0,2024-06-20 12:18:51,2024-06-20 08:18:51,0.029
2024-06-20, 12:18:52,825,44332.825,0.59266,0.0351,1024.16,26.1,26.16,65.3,19.08,32.87,5.4,297.214,32.87,27.25,0.0,22042.89,0.0,40.32984,-74.67559,0.027,6,1024.52,,,-0.76,,,, 12:19:10,,0.0,64.41,40.19029,-75.103,0.0,2024-06-20 12:18:52,2024-06-20 08:18:52,0.027
2024-06-20, 12:18:53,811,44333.811,0.60883,0.0351,1024.16,26.43,26.49,66.5,19.69,32.88,5.4,297.541,32.88,27.27,0.0,22909.05,0.0,40.32984,-74.67559,0.026,6,1024.63,,,-0.81,,,, 12:19:11,,0.0,64.41,40.19029,-75.10294,0.0,2024-06-20 12:18:53,2024-06-20 08:18:53,0.026
2024-06-20, 12:18:54,781,44334.781,0.62551,0.0351,1024.16,26.33,26.39,65.3,19.3,32.91,5.4,297.442,32.91,27.25,0.0,22351.12,0.0,40.32983,-74.67558,0.026,7,1024.63,,,-0.67,,,, 12:19:12,,0.0,64.41,40.19028,-75.10293,0.0,2024-06-20 12:18:54,2024-06-20 08:18:54,0.026
2024-06-20, 12:18:55,782,44335.782,0.64306,0.0352,1024.15,26.13,26.19,65.3,19.11,32.92,5.4,297.244,32.92,27.22,0.0,22083.07,0.0,40.32981,-74.67557,0.028,7,1024.4,,,-0.29,,,, 12:19:13,,0.0,64.41,40.19026,-75.10304,0.0,2024-06-20 12:18:55,2024-06-20 08:18:55,0.028
2024-06-20, 12:18:56,835,44336.835,0.65974,0.0352,1024.15,26.15,26.21,66.5,19.42,32.94,5.4,297.264,32.94,27.19,0.0,22525.21,0.0,40.3298,-74.67557,0.03,7,1024.17,,,0.0,,,, 12:19:14,,0.0,64.41,40.19025,-75.10316,0.0,2024-06-20 12:18:56,2024-06-20 08:18:56,0.03
2024-06-20, 12:18:57,836,44337.836,0.67781,0.0352,1024.15,26.28,26.34,66.6,19.57,32.96,5.4,297.393,32.96,27.19,0.0,22737.69,0.0,40.32979,-74.67557,0.032,7,1023.94,,,0.22,,,, 12:19:15,,0.0,64.41,40.19022,-75.10328,0.0,2024-06-20 12:18:57,2024-06-20 08:18:57,0.032
